,Titlu,Pret
486,"Komi Can't Communicate, Vol. 7",29.99 RON
487,"Twin Star Exorcists, Vol. 14",27.99 RON
488,"Don't Be Cruel: 2-in-1 Edition, Vol. 2",52.99 RON
489,"Platinum End, Vol. 13",42.99 RON
490,"Boruto: Naruto Next Generations, Vol. 9",42.99 RON
491,"Golden Kamuy, Vol. 17",53.99 RON
492,"Assassination Classroom, Vol. 18",42.99 RON
493,"Undead Unluck, Vol. 5",42.99 RON
494,"Love Me, Love Me Not, Vol. 3",42.99 RON
495,"BEASTARS, Vol. 3",53.99 RON
496,"Assassination Classroom, Vol. 3",42.99 RON
497,"Dorohedoro, Vol. 12",53.99 RON
498,"Samurai 8: The Tale of Hachimaru, Vol. 3",31.99 RON
499,"Golden Kamuy, Vol. 21",42.99 RON
500,"Toilet-bound Hanako-kun, Vol. 0",71.99 RON
501,"King's Beast, Vol. 5",42.99 RON
502,"Zom 100: Bucket List of the Dead, Vol. 5",53.99 RON
503,"Way of the Househusband, Vol. 5",53.99 RON
504,"Undead Unluck, Vol. 6",42.99 RON
505,"Orochi: The Perfect Edition, Vol. 1",118.99 RON
506,"Mao, Vol. 4",42.99 RON
507,"Tokyo Ghoul, Vol. 4",53.99 RON
508,"Given, Vol. 4",53.99 RON
509,"Frieren: Beyond Journey's End, Vol. 4",42.99 RON
510,"Undead Unluck, Vol. 7",42.99 RON
511,"My Hero Academia, Vol. 3",42.99 RON
512,"Dr. STONE, Vol. 20",42.99 RON
513,"Tokyo Ghoul: re, Vol. 13",48.99 RON
514,"Seraph of the End, Vol. 24",42.99 RON
515,"Vampire Knight: Memories, Vol. 7",42.99 RON
516,Deserter: Junji Ito Story Collection,102.99 RON
517,"Rooster Fighter, Vol. 1",50.99 RON
518,"Tokyo Ghoul: re, Vol. 1",48.99 RON
519,"King's Beast, Vol. 7",38.99 RON
520,"Black Clover, Vol. 29",42.99 RON
521,"Promised Neverland, Vol. 1",51.99 RON
522,"Promised Neverland, Vol. 2",51.99 RON
523,"Fullmetal Alchemist: Fullmetal Edition, Vol. 14",103.99 RON
524,"My Love Mix-Up!, Vol. 4",38.99 RON
525,"Yona of the Dawn, Vol. 37",51.99 RON
526,"Tokyo Ghoul, Vol. 11",42.99 RON
527,"Hell's Paradise: Jigokuraku, Vol. 11",64.99 RON
528,"Demon Slayer: Kimetsu no Yaiba, Vol. 13",42.99 RON
529,"Jujutsu Kaisen: Summer of Ashes, Autumn of Dust",38.99 RON
530,"Promised Neverland, Vol. 19",31.99 RON
531,"Sakamoto Days, Vol. 2",38.99 RON
532,"My Love Mix-Up!, Vol. 6",42.99 RON
